experiment,epoch,train_rmse,test_rmse,train_mae,test_mae
disttransformer_100_epoch,1,0.1392,0.1053,0.1073,0.0842
disttransformer_100_epoch,2,0.1096,0.1046,0.0873,0.0833
disttransformer_100_epoch,3,0.1069,0.1033,0.0854,0.0825
disttransformer_100_epoch,4,0.105,0.1015,0.0842,0.0815
disttransformer_100_epoch,5,0.1038,0.1006,0.0832,0.0808
disttransformer_100_epoch,6,0.1024,0.098,0.082,0.0782
disttransformer_100_epoch,7,0.0998,0.0961,0.0793,0.0755
disttransformer_100_epoch,8,0.0986,0.0958,0.078,0.0748
disttransformer_100_epoch,9,0.0984,0.0954,0.0776,0.0753
disttransformer_100_epoch,10,0.098,0.0956,0.0773,0.0743
disttransformer_100_epoch,11,0.0975,0.0949,0.0769,0.0741
disttransformer_100_epoch,12,0.0945,0.0826,0.0746,0.0656
disttransformer_100_epoch,13,0.0774,0.0646,0.0595,0.0467
disttransformer_100_epoch,14,0.0703,0.0641,0.0521,0.0455
disttransformer_100_epoch,15,0.0692,0.0641,0.0508,0.0464
disttransformer_100_epoch,16,0.0683,0.0636,0.0499,0.0455
disttransformer_100_epoch,17,0.0681,0.0633,0.0495,0.0447
disttransformer_100_epoch,18,0.0675,0.0634,0.049,0.0442
disttransformer_100_epoch,19,0.0671,0.0631,0.0485,0.0446
disttransformer_100_epoch,20,0.0669,0.0632,0.0482,0.0451
disttransformer_100_epoch,21,0.0666,0.0627,0.0479,0.0441
disttransformer_100_epoch,22,0.0664,0.0625,0.0477,0.0436
disttransformer_100_epoch,23,0.0661,0.0625,0.0473,0.044
disttransformer_100_epoch,24,0.066,0.0625,0.0471,0.0432
disttransformer_100_epoch,25,0.0658,0.0623,0.047,0.043
disttransformer_100_epoch,26,0.0655,0.0627,0.0467,0.0445
disttransformer_100_epoch,27,0.0656,0.0624,0.0466,0.0437
disttransformer_100_epoch,28,0.0653,0.0622,0.0463,0.0434
disttransformer_100_epoch,29,0.0653,0.0622,0.0463,0.0434
disttransformer_100_epoch,30,0.065,0.0622,0.046,0.0433
disttransformer_100_epoch,31,0.0648,0.062,0.0458,0.0426
disttransformer_100_epoch,32,0.0647,0.0622,0.0456,0.0431
disttransformer_100_epoch,33,0.0645,0.0631,0.0455,0.0422
